position,person,personID,start,end
President,Mahmoud Abbas,Q127998,2005-05-08,
Prime Minister,Mohammad Shtayyeh,Q16192933,2019-04-13,
Minister of Endowments and Religious Affairs,حاتم البكري,Q110370970,2022-01-01,
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2019-04-13,
Minister of Jerusalem Affairs,Fadi al-Hadami,Q99078658,2019-04-13,
Minister of Local Government,Majdi al-Saleh,Q99017695,2019-04-13,
Minister of Public Works and Housing,محمد زيارة,Q70358563,2019-04-13,
Minister of Social Development,Ahmed Majdalani,Q4695901,2019-04-13,
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2019-04-13,
Minister of Women's Affairs,Amal Hamad,Q96240826,2019-04-13,
