position,person,personID,start,end
President,Yasser Arafat,Q34211,1989-04-02,2004-11-11
President,Mahmoud Abbas,Q127998,2005-05-08,
Prime Minister,Rami Hamdallah,Q13415154,2013-06-06,2019-03-10
Prime Minister,Mohammad Shtayyeh,Q16192933,2019-04-13,
Prime Minister of the Palestinian National Authority,Mahmoud Abbas,Q127998,2003-03-19,2003-09-06
Prime Minister of the Palestinian National Authority,Ahmed Qurei,Q378833,2003-10-07,2005-12-18
Prime Minister of the Palestinian National Authority,Ahmed Qurei,Q378833,2005-12-24,2006-03-29
Minister of Endowments and Religious Affairs,جمال بواطنة,Q99894482,2007,2009-05-19
Minister of Endowments and Religious Affairs,حسين الترتوري,Q99911759,2007-03-17,2007-06-14
Minister of Endowments and Religious Affairs,Youssef Edais,Q99175741,2014-06-02,2019-04-13
Minister of Endowments and Religious Affairs,Mohammad Shtayyeh,Q16192933,2019-04-13,2022-01-01
Minister of Endowments and Religious Affairs,حاتم البكري,Q110370970,2022-01-01,
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2009-05-19,2012-05-16
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2012-05-16,2013-06-06
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2013-06,2014-06-02
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2013-06-06,2013-09-19
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2014-06-02,2019-04-13
Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2019-04-13,
Minister of Jerusalem Affairs,Hind Khoury,Q2345173,2005-02-24,2006-03-27
Minister of Jerusalem Affairs,Khaled Abu Arafeh,Q1276034,2006-03-27,2007-03-17
Minister of Jerusalem Affairs,حاتم عبد القادر,Q99894495,2009-05,2009-06
Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2012-05-16,2013-06-06
Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2013-06-06,2013-09-19
Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2013-09-19,2014-06-02
Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2014-06-02,2019-04-13
Minister of Jerusalem Affairs,Fadi al-Hadami,Q99078658,2019-04-13,
Minister of Local Government,Saeb Erekat,Q970706,1994-03-05,2003-03-30
Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-03-30,2003-10-07
Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-10-07,2003-11-12
Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-11-12,2005-02-24
Minister of Local Government,خالد القواسمي,Q99336721,2005-02-24,2006-03-27
Minister of Local Government,Isa Jabari,Q66023995,2006-03-27,2007-03-17
Minister of Local Government,زياد البندك,Q99911348,2007-06-14,2009-05-19
Minister of Local Government,خالد القواسمي,Q99336721,2009-05-19,2013-06-06
Minister of Local Government,سائد الكوني,Q64913001,2013-06-06,2014-06-02
Minister of Local Government,نايف أبو خلف,Q99175748,2014-06-02,2015-07-31
Minister of Local Government,Hussein al-Araj,Q5949870,2015-06-30,2019-04-13
Minister of Local Government,Majdi al-Saleh,Q99017695,2019-04-13,
Minister of Negotiations,Saeb Erekat,Q970706,2003-03-30,2005-02-24
Minister of Public Works and Housing,حمدان عاشور,Q99215501,2003-03-30,2003-10-07
Minister of Public Works and Housing,Abdul Rahman Hamad,Q89792760,2003-10-07,2005-02-24
Minister of Public Works and Housing,Mohammad Shtayyeh,Q16192933,2005-02-24,2006-03-27
Minister of Public Works and Housing,Abdul Rahman Zidan,Q73903258,2006-03-28,2007-03-17
Minister of Public Works and Housing,سميح العبد,Q99911808,2007-03-17,2007-06-14
Minister of Public Works and Housing,Muhammad Kamal Hassouna,Q96449608,2007-06-14,2009-05-19
Minister of Public Works and Housing,Mohammad Shtayyeh,Q16192933,2009-05-19,2012-05-16
Minister of Public Works and Housing,Maher Ghoneim,Q99979978,2012-05-16,2014-06-02
Minister of Public Works and Housing,مفيد الحساينة,Q99175737,2014-06-02,2019-04-13
Minister of Public Works and Housing,محمد زيارة,Q70358563,2019-04-13,
Minister of Social Development,فخري تركمان,Q99910712,2006-03-27,2007-03-17
Minister of Social Development,Majida Al-Masri,Q6737870,2009-05-19,2013-06-06
Minister of Social Development,Ibrahim Al-Shaer,Q40379694,2015-12,2019-04-13
Minister of Social Development,Ahmed Majdalani,Q4695901,2019-04-13,
Minister of Tourism and Antiquities,زياد البندك,Q99911348,2005-02-24,2006-03-27
Minister of Tourism and Antiquities,Joudeh George Murqos,Q99910720,2006-03-27,2007-03-17
Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2007-03-17,2007-06-14
Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2007-06-14,2009-05-19
Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2009-05-19,2012-05-16
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2012-05-16,2013-06-06
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2013-06-06,2013-09-19
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2013-09-19,2014-06-02
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2014-06-02,2019-04-13
Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2019-04-13,
Minister of Women's Affairs,Zahira Kamal,Q42897037,2003-11-12,2005-02-24
Minister of Women's Affairs,Zahira Kamal,Q42897037,2005-02-24,2006-03-27
Minister of Women's Affairs,Amal Syam,Q4739202,2007-03-17,2007-06-14
Minister of Women's Affairs,Khouloud Daibes,Q431835,2007-06-14,2009-05-19
Minister of Women's Affairs,Rabiha Diab,Q19661451,2009-05-19,2012-05-16
Minister of Women's Affairs,Rabiha Diab,Q19661451,2012-05-16,2013-06-06
Minister of Women's Affairs,Rabiha Diab,Q19661451,2013-06-06,2013-09-19
Minister of Women's Affairs,Rabiha Diab,Q19661451,2013-09-19,2014-06-02
Minister of Women's Affairs,Haifa al-Agha,Q18686540,2014-06-02,2019-04-13
Minister of Women's Affairs,Amal Hamad,Q96240826,2019-04-13,
Minister of Youth and Sports,علي القواسمي,Q99826717,2002-06-13,2002-10-29
Minister of Youth and Sports,Abdel Fatah Hamayel,Q37201567,2003-03-30,2003-10-07
Minister of Youth and Sports,Jamal Al Shobaki,Q89281074,2003-10-07,2003-11-12
Minister of Youth and Sports,Salah Tamari,Q89488504,2003-11-12,2005-02-24
Minister of Youth and Sports,Ahmad Sakhr Bisisu,Q99947421,2005-02-24,2006-03-27
Minister of Youth and Sports,Tahani Abu Dagga,Q99894490,2007,2009-05-19
President of the Palestinian National Authority,Yasser Arafat,Q34211,1994-07-05,2004-11-11
President of the Palestinian National Authority,Rawhi Fattouh,Q962747,2004-11-11,2005-01-15
President of the Palestinian National Authority,Mahmoud Abbas,Q127998,2005-01-15,
President of the Palestinian National Authority,Mahmoud Abbas,Q127998,2005-01-15,2013-01-03
President of the Palestinian National Council,Salim Zanoun,Q12216618,1996,2022-02-07
President of the Palestinian National Council,Rawhi Fattouh,Q962747,2022-02-07,
Speaker of the Palestinian Legislative Council,Ahmed Qurei,Q378833,1996-03-07,2003-10-07
Speaker of the Palestinian Legislative Council,Rafiq Shakir Natshah,Q22932808,2003-11-03,2004-03-10
Speaker of the Palestinian Legislative Council,Rawhi Fattouh,Q962747,2004-03-10,2004-11-11
Speaker of the Palestinian Legislative Council,Rawhi Fattouh,Q962747,2005-01-15,2006-02-18
Speaker of the Palestinian Legislative Council,Aziz Duwaik,Q307142,2006-03-29,
Prosecutor General,محمد العويوي,Q102177403,2012,2016-01
Prosecutor General,أحمد براك,Q87276954,2016-01,2019-01-15
Prosecutor General,Akram Al-Khateeb,Q97651631,2019-03-12,
Director of Palestinian Preventive Security,زهير المناصرة,Q99980497,2002-07,2003-07
Head of the Military Intelligence Service,إبراهيم البلوي,Q80207129,2012-06-20,2015-07-31
Chair of the Anti-Corruption Commission,Rafiq Shakir Natshah,Q22932808,2010,2019-03
Chair of the Anti-Corruption Commission,أحمد براك,Q87276954,2019-05-13,2021-01-06
Chair of the Anti-Corruption Commission,رائد رضوان,Q104773125,2021-01-06,
Governor of Bethlehem,Mohammed Rashid Ja'abari,Q104092855,1996-08-01,2001-10-04
Governor of Bethlehem,محمد المدني,Q104092978,2001-10-04,2003-11-20
Governor of Bethlehem,زهير المناصرة,Q99980497,2003,2005
Governor of Bethlehem,Salah Tamari,Q89488504,2005,2009
Governor of Bethlehem,Abdel Fatah Hamayel,Q37201567,2009,2014
Governor of Bethlehem,جبرين البكري,Q97328201,2014-05-31,2018-10-01
Governor of Bethlehem,Kamel Hemeid,Q12234348,2018,
Governor of Gaza,Muhammad al-Qudwa,Q104214449,1996-08-13,2014-07
Governor of Gaza,Abdallah Frangi,Q307585,2014-07-07,2017-12-10
Governor of Gaza,Ibrahim Abu Al-Naja,Q98918783,2017-12-31,
Governor of Genin,زهير المناصرة,Q99980497,1996,2002
Governor of Genin,Qadoura Mousa,Q7265779,2002-07-25,2012-05-02
Governor of Genin,طلال دويكات,Q101104182,2012-05-04,2014-05-31
Governor of Genin,Ibrahim Ramadan,Q37196258,2014-05-31,2018
Governor of Genin,Akram Al-Rajoub,Q37196932,2018,
Governor of Hebron,Aref al-Jabari,Q104092282,2002-08-04,2007-07-31
Governor of Hebron,Hussein al-Araj,Q5949870,2007,2010
Governor of Hebron,Kamel Hemeid,Q12234348,2010,2018
Governor of Hebron,جبرين البكري,Q97328201,2018-10-01,
Governor of Jericho,سامي مسلم,Q104092295,2005-02-19,2007-08-01
Governor of Jericho,Aref al-Jabari,Q104092282,2007-08-06,2008-09-14
Governor of Jericho,Kamel Hemeid,Q12234348,2008-09-14,2010-10-23
Governor of Jericho,Majed Al-Fatiani,Q37200727,2010,2018
Governor of Jericho,Jihad Abu al-Asal,Q97771722,2018-09-13,
Governor of Jerusalem,Jamil Othman Nasser,Q6147751,1996,2005
Governor of Jerusalem,Adnan al-Husayni,Q4683929,2008,2018
Governor of Jerusalem,Adnan Ghaith,Q97704039,2018-08-31,
Governor of Khan Yunis,Ahmad Sakhr Bisisu,Q99947421,1996-08-13,2001
Governor of Khan Yunis,حسني زعرب,Q104214425,2001-07-02,2005-12-31
Governor of Khan Yunis,أسامة الفرا,Q63121989,2006,2014
Governor of Khan Yunis,أحمد الشيبي,Q99895753,2014-07-02,
Governor of North Gaza,زهدي عامر,Q104214531,1996-09-15,2001-02-28
Governor of North Gaza,Ahmad Sakhr Bisisu,Q99947421,2001,2005-02
Governor of North Gaza,إسماعيل أبو شمالة,Q102512775,2005-03-27,2013
Governor of North Gaza,صلاح أبو وردة,Q104214533,2014-07-02,
Governor of Qalqilya,مصطفى المالكي,Q104092596,1996,2006
Governor of Qalqilya,Rabih Khandaqji,Q37199010,2006-09-01,2013-09
Governor of Qalqilya,Abdullah Kmail,Q80204708,2013-11,2014-01-07
Governor of Qalqilya,Rafe Rawajbeh,Q37200365,2014-01-07,
Governor of Rafah,Abdullah Abu Samhadana,Q89170033,1996-07-01,2001
Governor of Rafah,مجيد الأغا,Q12239160,2001,2006
Governor of Rafah,زهدي القدرة,Q101792724,2006-02-20,2014
Governor of Rafah,أحمد نصر,Q104214567,2014-07-02,
Governor of Ramallah and al-Bireh,مصطفى عيسى,Q104092020,1995,2005
Governor of Ramallah and al-Bireh,Saeed Abu Ali,Q91013600,2006-09-10,2009-05
Governor of Ramallah and al-Bireh,Laila Ghannam,Q37195372,2010-01-22,
Governor of Nablus,Mahmoud Aloul,Q6734311,1995,2005-12-15
Governor of Nablus,Saeed Abu Ali,Q91013600,2005,2006
Governor of Nablus,كمال الشيخ,Q104092098,2006-09-15,2007-07-01
Governor of Nablus,Jamal AlMuhisin,Q12205837,2007,2009
Governor of Nablus,جبرين البكري,Q97328201,2009-12-03,2014-05-31
Governor of Nablus,Akram Al-Rajoub,Q37196932,2014-05-31,2018
Governor of Nablus,Ibrahim Ramadan,Q37196258,2018,
Governor of Salfit,Munir Al-Aboushi,Q27950616,2006-09-01,2010-01-24
Governor of Salfit,Essam Abu Baker,Q37192793,2010-04-11,2014-12
Governor of Salfit,إبراهيم البلوي,Q80207129,2015-07-31,2019-09-16
Governor of Salfit,Abdullah Kmail,Q80204708,2019-09-16,
Governor of Tubas,سامي مسلم,Q104092295,2007-11-20,2010-02-28
Governor of Tubas,Marwan Toubassi,Q98409208,2010-04-11,2013
Governor of Tubas,Rabih Khandaqji,Q37199010,2013-09,2017-07-07
Governor of Tubas,يونس العاص,Q104007807,2018,
Governor of Tulkarm,عز الدين الشريف,Q101104212,1995-11-21,2006-04-01
Governor of Tulkarm,طلال دويكات,Q101104182,2006-09-01,2012-05-04
